Ashika,"Reviewed in the United States on March 14, 2017",3.0 out of 5 stars,"Full of examples, case studies and rich with philosophical underpinnings that illustrate the points of perspective, action and will. Great resource!",https://www.amazon.com/Obstacle-Way-Ancient-Adversity-Advantage/dp/1781251495/ref=sr_1_5?crid=2C8DMY10FA6WA&keywords=ego+is+the+enemy&qid=1584891047&sprefix=ego+%2Caps%2C175&sr=8-5
vollichick,"Reviewed in the United States on March 3, 2020",5.0 out of 5 stars,LOVE THIS BOOK,https://www.amazon.com/Obstacle-Way-Ancient-Adversity-Advantage/dp/1781251495/ref=sr_1_5?crid=2C8DMY10FA6WA&keywords=ego+is+the+enemy&qid=1584891047&sprefix=ego+%2Caps%2C175&sr=8-5
BrianB,"Reviewed in the United States on March 2, 2020",5.0 out of 5 stars,Greatest self development book I’ve ever read!,https://www.amazon.com/Obstacle-Way-Ancient-Adversity-Advantage/dp/1781251495/ref=sr_1_5?crid=2C8DMY10FA6WA&keywords=ego+is+the+enemy&qid=1584891047&sprefix=ego+%2Caps%2C175&sr=8-5
Glen Morris,"Reviewed in the United States on December 28, 2014",4.0 out of 5 stars,Ryan does a great job of compiling the thoughts and philosophy of Stoics in the stories he tells the first two parts you would not even know it was Stoic just a great perspective to tackle life. It's a short read and well worth taking the time to absorb and add to your current thinking or form the basis of how you could think. Inspiring to read more stoic philosophy,https://www.amazon.com/Obstacle-Way-Ancient-Adversity-Advantage/dp/1781251495/ref=sr_1_5?crid=2C8DMY10FA6WA&keywords=ego+is+the+enemy&qid=1584891047&sprefix=ego+%2Caps%2C175&sr=8-5
DD,"Reviewed in the United States on December 27, 2019",5.0 out of 5 stars,Enjoyable reading.,https://www.amazon.com/Obstacle-Way-Ancient-Adversity-Advantage/dp/1781251495/ref=sr_1_5?crid=2C8DMY10FA6WA&keywords=ego+is+the+enemy&qid=1584891047&sprefix=ego+%2Caps%2C175&sr=8-5
R. Kidd,"Reviewed in the United States on January 1, 2020",5.0 out of 5 stars,really good read,https://www.amazon.com/Obstacle-Way-Ancient-Adversity-Advantage/dp/1781251495/ref=sr_1_5?crid=2C8DMY10FA6WA&keywords=ego+is+the+enemy&qid=1584891047&sprefix=ego+%2Caps%2C175&sr=8-5
Amazon Customer,"Reviewed in the United States on September 12, 2019",1.0 out of 5 stars,Wasn't helpful at all. Said that there are rarely obstacles that you purely have to wait out in the first few pages.,https://www.amazon.com/Obstacle-Way-Ancient-Adversity-Advantage/dp/1781251495/ref=sr_1_5?crid=2C8DMY10FA6WA&keywords=ego+is+the+enemy&qid=1584891047&sprefix=ego+%2Caps%2C175&sr=8-5
KARAN ARORA,"Reviewed in the United States on October 17, 2014",4.0 out of 5 stars,By reading this book you end up saving time going through hundreds of books on spirituality and philosophy . There are some good recommendations also to continue your research and fulfil your hunger for more quality books.,https://www.amazon.com/Obstacle-Way-Ancient-Adversity-Advantage/dp/1781251495/ref=sr_1_5?crid=2C8DMY10FA6WA&keywords=ego+is+the+enemy&qid=1584891047&sprefix=ego+%2Caps%2C175&sr=8-5
Shepard,"Reviewed in the United States on June 24, 2018",5.0 out of 5 stars,"I’ve purchased this book for everyone I know and work with. I’ve read it 3 times and once finished, could easily start again on it. This book is a tool and if used correctly, can and will deliver on your happiness and life goals.",https://www.amazon.com/Obstacle-Way-Ancient-Adversity-Advantage/dp/1781251495/ref=sr_1_5?crid=2C8DMY10FA6WA&keywords=ego+is+the+enemy&qid=1584891047&sprefix=ego+%2Caps%2C175&sr=8-5
CHRISTOPHER HAMMOND,"Reviewed in the United States on October 15, 2018",5.0 out of 5 stars,"liked it. not overly heavy. good stuff to think about, though.",https://www.amazon.com/Obstacle-Way-Ancient-Adversity-Advantage/dp/1781251495/ref=sr_1_5?crid=2C8DMY10FA6WA&keywords=ego+is+the+enemy&qid=1584891047&sprefix=ego+%2Caps%2C175&sr=8-5
Mark Tobis,"Reviewed in the United States on March 5, 2017",3.0 out of 5 stars,Rehash.,https://www.amazon.com/Obstacle-Way-Ancient-Adversity-Advantage/dp/1781251495/ref=sr_1_5?crid=2C8DMY10FA6WA&keywords=ego+is+the+enemy&qid=1584891047&sprefix=ego+%2Caps%2C175&sr=8-5
Babette,"Reviewed in the United States on April 2, 2019",5.0 out of 5 stars,A most necessary read to view life with wisdom. Ryan Holiday’s books should be required reading for everyone. I can’t wait to start the next one.,https://www.amazon.com/Obstacle-Way-Ancient-Adversity-Advantage/dp/1781251495/ref=sr_1_5?crid=2C8DMY10FA6WA&keywords=ego+is+the+enemy&qid=1584891047&sprefix=ego+%2Caps%2C175&sr=8-5
James Gregory,"Reviewed in the United States on June 13, 2018",5.0 out of 5 stars,A very encouraging set of real life circumstances in which people overcame their obstacles. Definitely worth the time to read.,https://www.amazon.com/Obstacle-Way-Ancient-Adversity-Advantage/dp/1781251495/ref=sr_1_5?crid=2C8DMY10FA6WA&keywords=ego+is+the+enemy&qid=1584891047&sprefix=ego+%2Caps%2C175&sr=8-5
Amazon Customer,"Reviewed in the United States on February 19, 2019",5.0 out of 5 stars,A must read if you feel the world keeps kicking you down.,https://www.amazon.com/Obstacle-Way-Ancient-Adversity-Advantage/dp/1781251495/ref=sr_1_5?crid=2C8DMY10FA6WA&keywords=ego+is+the+enemy&qid=1584891047&sprefix=ego+%2Caps%2C175&sr=8-5
Amazon Customer,"Reviewed in the United States on April 17, 2018",5.0 out of 5 stars,This book puts into print what I intuitively know. Its a great confirmation.,https://www.amazon.com/Obstacle-Way-Ancient-Adversity-Advantage/dp/1781251495/ref=sr_1_5?crid=2C8DMY10FA6WA&keywords=ego+is+the+enemy&qid=1584891047&sprefix=ego+%2Caps%2C175&sr=8-5
Daniel Harris,"Reviewed in the United States on August 28, 2018",5.0 out of 5 stars,"Motivational book, great book for individuals of victom mentality",https://www.amazon.com/Obstacle-Way-Ancient-Adversity-Advantage/dp/1781251495/ref=sr_1_5?crid=2C8DMY10FA6WA&keywords=ego+is+the+enemy&qid=1584891047&sprefix=ego+%2Caps%2C175&sr=8-5
Petar Todorovski,"Reviewed in the United States on February 18, 2018",5.0 out of 5 stars,This is the book I want to carry with me everywhere and read over and over again. I took notes on every chapter in my journal and examined my life upon them. The book is amazing. It is easy to read and understand. It is a great tool for reflection and examination of life.,https://www.amazon.com/Obstacle-Way-Ancient-Adversity-Advantage/dp/1781251495/ref=sr_1_5?crid=2C8DMY10FA6WA&keywords=ego+is+the+enemy&qid=1584891047&sprefix=ego+%2Caps%2C175&sr=8-5
Corbin Carter,"Reviewed in the United States on July 8, 2019",5.0 out of 5 stars,This book gives good advice on adversity and how to make the most of it.,https://www.amazon.com/Obstacle-Way-Ancient-Adversity-Advantage/dp/1781251495/ref=sr_1_5?crid=2C8DMY10FA6WA&keywords=ego+is+the+enemy&qid=1584891047&sprefix=ego+%2Caps%2C175&sr=8-5
John Smith,"Reviewed in the United States on April 27, 2016",5.0 out of 5 stars,"The more I follow the ideas in this book, the easier my day-to-day life is. Great advice, here -- and thanks to this book, I've started reading Marcus Aurelius.",https://www.amazon.com/Obstacle-Way-Ancient-Adversity-Advantage/dp/1781251495/ref=sr_1_5?crid=2C8DMY10FA6WA&keywords=ego+is+the+enemy&qid=1584891047&sprefix=ego+%2Caps%2C175&sr=8-5
Genuine Redhead,"Reviewed in the United States on April 3, 2015",5.0 out of 5 stars,"Excellent, easy read and 100% applicable to today's world. I have it on the breakfast table, read a section every couple of days and bear it in mind as I go through the day. Has made a considerable difference to my quality of life.",https://www.amazon.com/Obstacle-Way-Ancient-Adversity-Advantage/dp/1781251495/ref=sr_1_5?crid=2C8DMY10FA6WA&keywords=ego+is+the+enemy&qid=1584891047&sprefix=ego+%2Caps%2C175&sr=8-5
Avid Reader,"Reviewed in the United States on May 17, 2018",5.0 out of 5 stars,"Great book. Not as long as expected, but packed with good ideas (from the ancient Stoics) with modern examples.",https://www.amazon.com/Obstacle-Way-Ancient-Adversity-Advantage/dp/1781251495/ref=sr_1_5?crid=2C8DMY10FA6WA&keywords=ego+is+the+enemy&qid=1584891047&sprefix=ego+%2Caps%2C175&sr=8-5
Jen Grisanti,"Reviewed in the United States on July 17, 2015",5.0 out of 5 stars,I LOVE this book!! I want to read it 5 times. I cannot begin to tell you how much value is in these pages. The author is brilliant. The quotes are so thought-provoking. I love how he weaves it all together. I could not recommend this book more. It is a MUST READ!!,https://www.amazon.com/Obstacle-Way-Ancient-Adversity-Advantage/dp/1781251495/ref=sr_1_5?crid=2C8DMY10FA6WA&keywords=ego+is+the+enemy&qid=1584891047&sprefix=ego+%2Caps%2C175&sr=8-5
